name,id,source_folder,source_type,is_pure_music,avg_overall_score,avg_melody_perception,avg_melody_emotion,avg_arrangement_perception,avg_arrangement_emotion,avg_rhythm_perception,avg_structure_perception,avg_performance_and_singing_mood,avg_enunciation_and_singing_skill,avg_performance_skill,avg_sound_effect_perception,__row_id,mood
001 - Bob Dylan - Like A Rolling Stone (1965).mp3,9801,douyin9,internet,FALSE,4.363636363636363,4.181818181818182,4.454545454545454,4.2727272727272725,4.363636363636363,4.045454545454546,4.045454545454546,4.5,3.909090909090909,4.2272727272727275,0,0,passionable
002 - The Rolling Stones - Satisfaction (1965).mp3,9201,douyin6,internet,FALSE,3.9545454545454546,3.8181818181818183,4,3.6818181818181817,4,4,3.6818181818181817,4.2727272727272725,3.6363636363636362,3.909090909090909,0,1,passionable | angry
003 - John Lennon - Imagine (1971).mp3,1,douyin10,internet,FALSE,3.75,3.95,3.95,3.65,3.85,3.3,3.75,3.8,3.75,3.75,0,2,peaceful
004 - Marvin Gaye - What's Going On (1971).mp3,8201,douyin5,internet,FALSE,3.95,3.9,3.95,3.9,3.9,3.95,3.85,4.1,4,3.9,3.9444444444444446,3,sad
005 - Aretha Franklin - Respect (1967).mp3,4201,douyin3,internet,FALSE,4.285714285714286,4.071428571428571,4.142857142857143,4.071428571428571,4.357142857142857,4.357142857142857,3.9285714285714284,4.285714285714286,4.285714285714286,4,0,4,passionable
006 - The Beach Boys - Good Vibrations (1966).mp3,9202,douyin6,internet,FALSE,4.2272727272727275,4.2272727272727275,4.181818181818182,4.2727272727272725,4.363636363636363,4.2272727272727275,4.2727272727272725,4.2272727272727275,4.2272727272727275,4.090909090909091,4,5,happy
007 - Chuck Berry - Johnny B. Goode (1958).mp3,401,douyin12,internet,FALSE,4,3.9,4.1,4.05,3.85,4,3.7,4.1,4.222222222222222,4.15,0,6,passionable | happy
008 - The Beatles - Hey Jude (1968).mp3,9802,douyin9,internet,FALSE,4.5,4.636363636363637,4.636363636363637,4.545454545454546,4.590909090909091,4.2727272727272725,4.545454545454546,4.636363636363637,4.545454545454546,4.409090909090909,0,7,passionable | peaceful
009 - Nirvana - Smells Like Teen Spirit (1991).mp3,402,douyin12,internet,FALSE,3.9,3.75,3.95,3.8,4.05,4,3.8,4.05,3.7,4.05,0,8,passionable
010 - Ray Charles - What'd I Say (1959).mp3,9601,douyin8,internet,FALSE,4.1,3.95,4.15,4.05,4.25,4.25,4,4.35,4.05,4.15,0,9,passionable
011 - The Who - My Generation (1965).mp3,8202,douyin5,internet,FALSE,3.87,3.85,3.9,3.85,3.85,4.1,3.8,4,3.8,3.85,0,10,passionable
012 - Sam Cooke - A Change Is Gonna Come (1964).mp3,9203,douyin6,internet,FALSE,4.363636363636363,4.318181818181818,4.409090909090909,4.363636363636363,4.5,4,4.2272727272727275,4.545454545454546,4.454545454545454,4.318181818181818,0,11,passionable | sad
013 - The Beatles - Yesterday (1965).mp3,9204,douyin6,internet,FALSE,4.2727272727272725,4.318181818181818,4.590909090909091,4.090909090909091,4.318181818181818,3.727272727272727,4.090909090909091,4.318181818181818,4.318181818181818,4.2272727272727275,0,12,sad | peaceful
